,Date_YMD,KL
831,2020-12-16,6185
834,2020-12-17,4969
837,2020-12-18,5456
840,2020-12-19,6293
843,2020-12-20,5711
846,2020-12-21,3423
849,2020-12-22,6049
852,2020-12-23,6169
855,2020-12-24,5177
858,2020-12-25,5397
861,2020-12-26,3527
864,2020-12-27,4905
867,2020-12-28,3047
870,2020-12-29,5887
873,2020-12-30,6268
876,2020-12-31,5215
879,2021-01-01,4991
882,2021-01-02,5328
885,2021-01-03,4600
888,2021-01-04,3021
891,2021-01-05,5615
894,2021-01-06,6394
897,2021-01-07,5051
900,2021-01-08,5142
903,2021-01-09,5528
906,2021-01-10,4545
909,2021-01-11,3110
912,2021-01-12,5507
915,2021-01-13,6004
918,2021-01-14,5490
921,2021-01-15,5624
924,2021-01-16,5960
927,2021-01-17,5005
930,2021-01-18,3346
933,2021-01-19,6186
936,2021-01-20,6815
939,2021-01-21,6334
942,2021-01-22,6753
945,2021-01-23,6960
948,2021-01-24,6036
951,2021-01-25,3361
954,2021-01-26,6293
957,2021-01-27,5659
960,2021-01-28,5771
963,2021-01-29,6268
966,2021-01-30,6282
969,2021-01-31,5266
972,2021-02-01,3459
975,2021-02-02,5716
978,2021-02-03,6356
981,2021-02-04,6102
984,2021-02-05,5610
987,2021-02-06,5942
990,2021-02-07,6075
993,2021-02-08,3742
996,2021-02-09,5214
999,2021-02-10,5980
1002,2021-02-11,5281
1005,2021-02-12,5397
1008,2021-02-13,5471
1011,2021-02-14,4612
1014,2021-02-15,2884
1017,2021-02-16,4937
1020,2021-02-17,4892
1023,2021-02-18,4584
1026,2021-02-19,4505
1029,2021-02-20,4650
1032,2021-02-21,4070
1035,2021-02-22,2212
1038,2021-02-23,4034
1041,2021-02-24,4106
1044,2021-02-25,3677
1047,2021-02-26,3671
1050,2021-02-27,3792
1053,2021-02-28,3254
1056,2021-03-01,1938
1059,2021-03-02,2938
1062,2021-03-03,2765
1065,2021-03-04,2616
1068,2021-03-05,2776
1071,2021-03-06,2791
1074,2021-03-07,2100
1077,2021-03-08,1412
1080,2021-03-09,2316
1083,2021-03-10,2475
1086,2021-03-11,2133
1089,2021-03-12,1780
1092,2021-03-13,2035
1095,2021-03-14,1792
1098,2021-03-15,1054
1101,2021-03-16,1970
1104,2021-03-17,2098
1107,2021-03-18,1899
1110,2021-03-19,1984
1113,2021-03-20,2078
1116,2021-03-21,1875
1119,2021-03-22,1239
1122,2021-03-23,1985
1125,2021-03-24,2456
1128,2021-03-25,1989
1131,2021-03-26,1825
1134,2021-03-27,2055
1137,2021-03-28,2216
1140,2021-03-29,1549
1143,2021-03-30,2389
1146,2021-03-31,2653
1149,2021-04-01,2798
1152,2021-04-02,2508
1155,2021-04-03,2541
1158,2021-04-04,2802
1161,2021-04-05,2357
1164,2021-04-06,3502
1167,2021-04-07,3502
1170,2021-04-08,4353
1173,2021-04-09,5063
1176,2021-04-10,6194
1179,2021-04-11,6986
1182,2021-04-12,5692
1185,2021-04-13,7515
1188,2021-04-14,8778
1191,2021-04-15,8126
1194,2021-04-16,10031
